Date,Price,Open,High,Low,Vol.,Change %,Sector,value
2022-04-29,9.23,9.23,9.23,9.23,0.02K,-0.54,bank,BH
2022-04-28,9.28,9.25,9.28,9.25,2.68K,1.87,bank,BH
2022-04-27,9.11,9.12,9.12,9.11,1.09K,-0.98,bank,BH
2022-04-26,9.2,9.29,9.3,9.2,3.83K,-1.08,bank,BH
2022-04-25,9.3,9.39,9.39,9.12,7.85K,-1.06,bank,BH
2022-04-22,9.4,9.4,9.4,9.4,0.14K,-0.95,bank,BH
2022-04-21,9.49,9.48,9.49,9.48,3.50K,-0.11,bank,BH
2022-04-20,9.5,9.48,9.5,9.48,5.20K,0.0,bank,BH
2022-04-19,9.5,9.47,9.5,9.47,2.06K,0.21,bank,BH
2022-04-18,9.48,9.48,9.48,9.48,0.02K,1.94,bank,BH
2022-04-15,9.3,9.32,9.32,9.3,2.47K,-0.21,bank,BH
2022-04-14,9.32,9.32,9.32,9.32,0.02K,0.0,bank,BH
2022-04-13,9.32,9.32,9.5,9.32,8.44K,-1.89,bank,BH
2022-04-12,9.5,9.5,9.5,9.5,0.50K,-1.04,bank,BH
2022-04-11,9.6,9.33,9.6,9.3,6.14K,0.0,bank,BH
2022-04-08,9.6,9.52,9.6,9.31,8.27K,-0.93,bank,BH
2022-04-07,9.69,9.4,9.69,9.4,3.10K,3.09,bank,BH
2022-04-06,9.4,9.29,9.7,9.29,7.40K,0.97,bank,BH
2022-04-05,9.31,9.31,9.31,9.31,5.05K,-0.96,bank,BH
2022-04-04,9.4,9.39,9.4,9.39,0.97K,-1.57,bank,BH
2022-04-01,9.55,9.45,9.63,9.4,6.95K,1.7,bank,BH
2022-03-30,9.39,9.39,9.67,9.39,6.71K,-3.49,bank,BH
2022-03-29,9.73,9.73,9.73,9.73,0.15K,-0.1,bank,BH
2022-03-28,9.74,9.68,9.76,9.38,1.69K,0.62,bank,BH
2022-03-25,9.68,9.4,9.68,9.4,11.65K,-0.41,bank,BH
2022-03-24,9.72,9.71,9.72,9.71,1.07K,0.1,bank,BH
